"state","State_name","Population","date","category","count","grade"
"AK","Alaska ",731545,2020-04-19,"posNeg",9895,"A"
"AL","Alabama *",4903185,2020-04-19,"posNeg",45712,"B"
"AR","Arkansas ",3017804,2020-04-19,"posNeg",24209,"A"
"AZ","Arizona *",7278717,2020-04-19,"posNeg",52990,"B"
"CA","California *",39512223,2020-04-19,"posNeg",280900,"B"
"CO","Colorado ",5758736,2020-04-19,"posNeg",44606,"A"
"CT","Connecticut ",3565287,2020-04-19,"posNeg",58213,"A"
"DC","District of Columbia ",705749,2020-04-19,"posNeg",13699,"A"
"DE","Delaware ",973764,2020-04-19,"posNeg",14794,"A"
"FL","Florida ",21477737,2020-04-19,"posNeg",256079,"A"
"GA","Georgia ",10617423,2020-04-19,"posNeg",79933,"A"
"HI","Hawaii ",1415872,2020-04-19,"posNeg",23470,"A"
"IA","Iowa ",3155070,2020-04-19,"posNeg",24550,"A"
"ID","Idaho ",1787065,2020-04-19,"posNeg",16869,"A"
"IL","Illinois ",16980127,2020-04-19,"posNeg",143318,"A"
"IN","Indiana *",6732219,2020-04-19,"posNeg",61142,"B"
"KS","Kansas *",2913314,2020-04-19,"posNeg",18130,"B"
"KY","Kentucky ",4467673,2020-04-19,"posNeg",32225,"A"
"LA","Louisiana ",4648794,2020-04-19,"posNeg",141504,"A"
"MA","Massachusetts *",6892503,2020-04-19,"posNeg",162241,"B"
"MD","Maryland ",6045680,2020-04-19,"posNeg",67891,"A"
"ME","Maine ",1344212,2020-04-19,"posNeg",14943,"A"
"MI","Michigan *",9986857,2020-04-19,"posNeg",109661,"B"
"MN","Minnesota ",5639632,2020-04-19,"posNeg",45716,"A"
"MO","Missouri ",6840439,2020-04-19,"posNeg",53909,"A"
"MS","Mississippi ",2976149,2020-04-19,"posNeg",39065,"A"
"MT","Montana ",1068778,2020-04-19,"posNeg",10898,"A"
"NC","North Carolina ",10488084,2020-04-19,"posNeg",78772,"A"
"ND","North Dakota *",762062,2020-04-19,"posNeg",13630,"B"
"NE","Nebraska ",1934408,2020-04-19,"posNeg",14575,"A"
"NH","New Hampshire *",1359711,2020-04-19,"posNeg",13424,"B"
"NJ","New Jersey ",8882190,2020-04-19,"posNeg",170688,"A"
"NM","New Mexico ",2096829,2020-04-19,"posNeg",36632,"A"
"NV","Nevada ",3080156,2020-04-19,"posNeg",31598,"A"
"NY","New York ",19453561,2020-04-19,"posNeg",617555,"A"
"OH","Ohio *",11689100,2020-04-19,"posNeg",86989,"B"
"OK","Oklahoma *",3956971,2020-04-19,"posNeg",35565,"B"
"OR","Oregon ",4217737,2020-04-19,"posNeg",39038,"A"
"PA","Pennsylvania ",12801989,2020-04-19,"posNeg",158854,"A"
"PR","Puerto Rico ",2933408,2020-04-19,"posNeg",9493,"A"
"RI","Rhode Island *",1059361,2020-04-19,"posNeg",34699,"B"
"SC","South Carolina *",5148714,2020-04-19,"posNeg",40480,"B"
"SD","South Dakota ",884659,2020-04-19,"posNeg",12062,"A"
"TN","Tennessee ",6829174,2020-04-19,"posNeg",97098,"A"
"TX","Texas ",28995881,2020-04-19,"posNeg",182710,"A"
